INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Lon_Lat,X_COORD_NORM,Y_COORD_NORM,Longitude,Latitude
74044370,08/07/2010,23:03:00,MANHATTAN,9,0,NA,FALSE,25-44,M,BLACK,25-44,M,BLACK,987360.6875,206352.28125,POINT (-73.98877733299999 40.73307368400003),-22093.8711374472,-1541.49565744624,-73.98877733300002,40.733073684
48395043,07/16/2008,18:10:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,F,BLACK,983906.875,212138.046875,POINT (-74.00123982199995 40.748954714000035),-25547.6836374472,4244.26996755376,-74.00123982200002,40.748954714
141724979,03/28/2015,22:35:00,MANHATTAN,9,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,991233.625,203897.984375,POINT (-73.97480537999996 40.72633502800005),-18220.9336374472,-3995.79253244624,-73.97480538000002,40.7263350280001
33108414,07/15/2007,21:44:00,MANHATTAN,9,0,NA,FALSE,UNKNOWN,M,BLACK,18-24,M,WHITE HISPANIC,989632.375,202781.015625,POINT (-73.98058338799996 40.72327033900007),-19822.1836374472,-5112.76128244624,-73.98058338800003,40.72327033900011
87111076,10/06/2012,21:39:00,MANHATTAN,5,0,BEAUTY/NAIL SALON,TRUE,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,986354.8125,201324.078125,POINT (-73.99240834599993 40.719272782000075),-23099.7461374472,-6569.69878244624,-73.99240834599992,40.71927278200009
207701108,01/09/2020,03:34:00,MANHATTAN,9,0,NA,TRUE,25-44,M,BLACK,25-44,M,BLACK,988875.1875,203909.265625,POINT (-73.98331432699996 40.726367540000076),-20579.3711374472,-3984.51128244624,-73.98331432700003,40.7263675400001
10137416,01/11/2006,21:47:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,M,WHITE,25-44,M,WHITE,983857.625,212466.25,POINT (-74.00141758899997 40.74985554700004),-25596.9336374472,4572.47309255376,-74.00141758900003,40.749855546999996
214690556,06/26/2020,00:30:00,MANHATTAN,13,0,NA,FALSE,25-44,M,BLACK,18-24,M,WHITE HISPANIC,987583.4375,210248,POINT (-73.98797166599996 40.74376638700005),-21871.1211374472,2354.22309255376,-73.98797166600004,40.7437663870001
203676931,10/11/2019,22:15:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,WHITE HISPANIC,18-24,F,WHITE HISPANIC,983906.875,212138.046875,POINT (-74.00123982199995 40.748954714000035),-25547.6836374472,4244.26996755376,-74.00123982200002,40.748954714
74788924,09/26/2010,21:30:00,MANHATTAN,9,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,WHITE HISPANIC,25-44,M,WHITE,987756,204106.046875,POINT (-73.98735211899998 40.72690817100005),-21698.5586374472,-3787.73003244624,-73.987352119,40.7269081710001
